TimeSeries ID,value_used_bytes_aggregate resource.namespace_name=kube-system,value_used_bytes_aggregate resource.namespace_name=gmp-system,value_used_bytes_aggregate resource.namespace_name=akoflow
resource.namespace_name,kube-system,gmp-system,akoflow
Thu May 09 2024 21:01:00 GMT-0300 (Horário Padrão de Brasília),381018112,107687936,undefined
Thu May 09 2024 21:02:00 GMT-0300 (Horário Padrão de Brasília),383795200,109293568,3469312
Thu May 09 2024 21:03:00 GMT-0300 (Horário Padrão de Brasília),383385600,106561536,7524352
Thu May 09 2024 21:04:00 GMT-0300 (Horário Padrão de Brasília),399708160,107048960,7375736832
Thu May 09 2024 21:05:00 GMT-0300 (Horário Padrão de Brasília),395608064,105725952,8282304512
Thu May 09 2024 21:06:00 GMT-0300 (Horário Padrão de Brasília),394145792,106401792,8346173440
Thu May 09 2024 21:07:00 GMT-0300 (Horário Padrão de Brasília),395726848,105091072,8412045312
Thu May 09 2024 21:08:00 GMT-0300 (Horário Padrão de Brasília),392904704,105504768,8465780736
Thu May 09 2024 21:09:00 GMT-0300 (Horário Padrão de Brasília),392273920,108408832,8524308480
Thu May 09 2024 21:10:00 GMT-0300 (Horário Padrão de Brasília),397606912,108765184,8585281536
Thu May 09 2024 21:11:00 GMT-0300 (Horário Padrão de Brasília),393486336,108933120,8634753024
Thu May 09 2024 21:12:00 GMT-0300 (Horário Padrão de Brasília),390709248,109690880,8692092928
Thu May 09 2024 21:13:00 GMT-0300 (Horário Padrão de Brasília),391688192,107642880,8744124416
Thu May 09 2024 21:15:00 GMT-0300 (Horário Padrão de Brasília),414552064,103985152,7359000576
Thu May 09 2024 21:16:00 GMT-0300 (Horário Padrão de Brasília),403718144,105693184,5955837952
Thu May 09 2024 21:17:00 GMT-0300 (Horário Padrão de Brasília),420536320,105308160,6351585280
Thu May 09 2024 21:18:00 GMT-0300 (Horário Padrão de Brasília),409276416,107163648,6066581504
Thu May 09 2024 21:19:00 GMT-0300 (Horário Padrão de Brasília),408391680,108711936,6116691968
Thu May 09 2024 21:20:00 GMT-0300 (Horário Padrão de Brasília),410927104,107446272,6150074368
Thu May 09 2024 21:21:00 GMT-0300 (Horário Padrão de Brasília),414179328,108130304,6240301056
Thu May 09 2024 21:22:00 GMT-0300 (Horário Padrão de Brasília),412921856,108818432,6241574912
Thu May 09 2024 21:23:00 GMT-0300 (Horário Padrão de Brasília),417153024,107724800,6352863232
Thu May 09 2024 21:24:00 GMT-0300 (Horário Padrão de Brasília),417222656,107589632,6355079168
Thu May 09 2024 21:26:00 GMT-0300 (Horário Padrão de Brasília),415039488,108728320,3335983104
Thu May 09 2024 21:27:00 GMT-0300 (Horário Padrão de Brasília),417660928,109641728,1950318592
Thu May 09 2024 21:28:00 GMT-0300 (Horário Padrão de Brasília),410300416,110325760,1865437184
Thu May 09 2024 21:29:00 GMT-0300 (Horário Padrão de Brasília),409415680,105488384,1909395456
Thu May 09 2024 21:30:00 GMT-0300 (Horário Padrão de Brasília),406740992,106721280,1975902208
Thu May 09 2024 21:31:00 GMT-0300 (Horário Padrão de Brasília),413294592,107622400,42250240
Thu May 09 2024 21:32:00 GMT-0300 (Horário Padrão de Brasília),435519488,107741184,32784384
Thu May 09 2024 21:33:00 GMT-0300 (Horário Padrão de Brasília),443772928,108007424,184299520
Thu May 09 2024 21:34:00 GMT-0300 (Horário Padrão de Brasília),432164864,108478464,408555520
Thu May 09 2024 21:35:00 GMT-0300 (Horário Padrão de Brasília),419459072,108720128,1718771712
Thu May 09 2024 21:37:00 GMT-0300 (Horário Padrão de Brasília),424992768,108355584,850251776
Thu May 09 2024 21:38:00 GMT-0300 (Horário Padrão de Brasília),422809600,109060096,584847360
Thu May 09 2024 21:39:00 GMT-0300 (Horário Padrão de Brasília),429686784,107872256,948830208
Thu May 09 2024 21:40:00 GMT-0300 (Horário Padrão de Brasília),425918464,109588480,638779392
Thu May 09 2024 21:41:00 GMT-0300 (Horário Padrão de Brasília),424017920,111157248,767258624
Thu May 09 2024 21:42:00 GMT-0300 (Horário Padrão de Brasília),428089344,110796800,1171120128
Thu May 09 2024 21:43:00 GMT-0300 (Horário Padrão de Brasília),469655552,109649920,1028759552
Thu May 09 2024 21:44:00 GMT-0300 (Horário Padrão de Brasília),448438272,110497792,1136078848
Thu May 09 2024 21:45:00 GMT-0300 (Horário Padrão de Brasília),434733056,107737088,1811591168
Thu May 09 2024 21:46:00 GMT-0300 (Horário Padrão de Brasília),418152448,108703744,1445511168
Thu May 09 2024 21:47:00 GMT-0300 (Horário Padrão de Brasília),414863360,108355584,1494994944
Thu May 09 2024 21:48:00 GMT-0300 (Horário Padrão de Brasília),450764800,108957696,1607245824
Thu May 09 2024 21:49:00 GMT-0300 (Horário Padrão de Brasília),459272192,108105728,1680855040
Thu May 09 2024 21:50:00 GMT-0300 (Horário Padrão de Brasília),458256384,108355584,2345406464
Thu May 09 2024 21:51:00 GMT-0300 (Horário Padrão de Brasília),442368000,107208704,1888583680
Thu May 09 2024 21:52:00 GMT-0300 (Horário Padrão de Brasília),429187072,107536384,2745167872
Thu May 09 2024 21:53:00 GMT-0300 (Horário Padrão de Brasília),427601920,107732992,2798018560
Thu May 09 2024 21:54:00 GMT-0300 (Horário Padrão de Brasília),421130240,109502464,2026573824
Thu May 09 2024 21:55:00 GMT-0300 (Horário Padrão de Brasília),421675008,110780416,2078474240
Thu May 09 2024 21:56:00 GMT-0300 (Horário Padrão de Brasília),413749248,110837760,2123378688
Thu May 09 2024 21:57:00 GMT-0300 (Horário Padrão de Brasília),420646912,111788032,2212663296
Thu May 09 2024 21:58:00 GMT-0300 (Horário Padrão de Brasília),426336256,111304704,2615709696
Thu May 09 2024 21:59:00 GMT-0300 (Horário Padrão de Brasília),420061184,108924928,2430959616
Thu May 09 2024 22:00:00 GMT-0300 (Horário Padrão de Brasília),447651840,108433408,6030876672
Thu May 09 2024 22:01:00 GMT-0300 (Horário Padrão de Brasília),450220032,109359104,10525851648
Thu May 09 2024 22:02:00 GMT-0300 (Horário Padrão de Brasília),434606080,108646400,3690586112
Thu May 09 2024 22:03:00 GMT-0300 (Horário Padrão de Brasília),424800256,109506560,2617348096
Thu May 09 2024 22:04:00 GMT-0300 (Horário Padrão de Brasília),424124416,109805568,2621513728
Thu May 09 2024 22:05:00 GMT-0300 (Horário Padrão de Brasília),439447552,110362624,2646024192
Thu May 09 2024 22:06:00 GMT-0300 (Horário Padrão de Brasília),453496832,109821952,2927845376
Thu May 09 2024 22:07:00 GMT-0300 (Horário Padrão de Brasília),455856128,107307008,3279069184
Thu May 09 2024 22:08:00 GMT-0300 (Horário Padrão de Brasília),447799296,108302336,2773225472
Thu May 09 2024 22:09:00 GMT-0300 (Horário Padrão de Brasília),445726720,107679744,2830958592
Thu May 09 2024 22:10:00 GMT-0300 (Horário Padrão de Brasília),465764352,107991040,3684753408
Thu May 09 2024 22:11:00 GMT-0300 (Horário Padrão de Brasília),450220032,108453888,2947661824
Thu May 09 2024 22:12:00 GMT-0300 (Horário Padrão de Brasília),449495040,108810240,4044189696
Thu May 09 2024 22:13:00 GMT-0300 (Horário Padrão de Brasília),450711552,107302912,3810078720
Thu May 09 2024 22:14:00 GMT-0300 (Horário Padrão de Brasília),445792256,106594304,3565477888
Thu May 09 2024 22:15:00 GMT-0300 (Horário Padrão de Brasília),440795136,107048960,3520823296
Thu May 09 2024 22:16:00 GMT-0300 (Horário Padrão de Brasília),439001088,107917312,3039055872
Thu May 09 2024 22:17:00 GMT-0300 (Horário Padrão de Brasília),439169024,108290048,3038425088
Thu May 09 2024 22:18:00 GMT-0300 (Horário Padrão de Brasília),439767040,107884544,2795466752
Thu May 09 2024 22:19:00 GMT-0300 (Horário Padrão de Brasília),439828480,107773952,2795466752
Thu May 09 2024 22:20:00 GMT-0300 (Horário Padrão de Brasília),438419456,108294144,2516422656
Thu May 09 2024 22:21:00 GMT-0300 (Horário Padrão de Brasília),434876416,108277760,2517430272
Thu May 09 2024 22:22:00 GMT-0300 (Horário Padrão de Brasília),436899840,109740032,2517716992
Thu May 09 2024 22:23:00 GMT-0300 (Horário Padrão de Brasília),437088256,108310528,2518798336